feature,importance,project,model
VCC_s12_nb_removed_goto,0.010824656,ghostscript/cross_project/exclude_target,XGBoost
VCC_s13_nb_added_define,0.010683491,ghostscript/cross_project/exclude_target,XGBoost
VCC_s14_nb_removed_define,0.009842803,ghostscript/cross_project/exclude_target,XGBoost
VCC_s15_nb_added_struct,0.011283368,ghostscript/cross_project/exclude_target,XGBoost
VCC_s16_nb_removed_struct,0.009325582,ghostscript/cross_project/exclude_target,XGBoost
VCC_s17_diff_struct,0.012328865,ghostscript/cross_project/exclude_target,XGBoost
VCC_s18_sum_struct,0.012172352,ghostscript/cross_project/exclude_target,XGBoost
VCC_s19_nb_added_offset,0.011295291,ghostscript/cross_project/exclude_target,XGBoost
VCC_s1_nb_added_sizeof,0.023592098,ghostscript/cross_project/exclude_target,XGBoost
VCC_s20_nb_removed_offset,0.01116219,ghostscript/cross_project/exclude_target,XGBoost
VCC_s21_nb_added_void,0.012411141,ghostscript/cross_project/exclude_target,XGBoost
VCC_s22_nb_removed_void,0.012805013,ghostscript/cross_project/exclude_target,XGBoost
VCC_s23_diff_void,0.011831715,ghostscript/cross_project/exclude_target,XGBoost
VCC_s24_sum_void,0.013551603,ghostscript/cross_project/exclude_target,XGBoost
VCC_s2_nb_removed_sizeof,0.010809652,ghostscript/cross_project/exclude_target,XGBoost
VCC_s3_diff_sizeof,0.01503765,ghostscript/cross_project/exclude_target,XGBoost
VCC_s4_sum_sizeof,0.020630576,ghostscript/cross_project/exclude_target,XGBoost
VCC_s5_nb_added_continue,0.0120898215,ghostscript/cross_project/exclude_target,XGBoost
VCC_s6_nb_removed_continue,0.011555338,ghostscript/cross_project/exclude_target,XGBoost
VCC_s7_nb_added_break,0.014799849,ghostscript/cross_project/exclude_target,XGBoost
VCC_s8_nb_removed_break,0.012711373,ghostscript/cross_project/exclude_target,XGBoost
VCC_s9_nb_added_INTMAX,0.0029307306,ghostscript/cross_project/exclude_target,XGBoost
VCC_w1,0.011493966,ghostscript/cross_project/exclude_target,XGBoost
VCC_w10,0.012431623,ghostscript/cross_project/exclude_target,XGBoost
VCC_w2,0.0104394555,ghostscript/cross_project/exclude_target,XGBoost
VCC_w3,0.011010194,ghostscript/cross_project/exclude_target,XGBoost
VCC_w4,0.013149108,ghostscript/cross_project/exclude_target,XGBoost
VCC_w5,0.011544529,ghostscript/cross_project/exclude_target,XGBoost
VCC_w6,0.013899292,ghostscript/cross_project/exclude_target,XGBoost
VCC_w7,0.013486993,ghostscript/cross_project/exclude_target,XGBoost
VCC_w8,0.0138409855,ghostscript/cross_project/exclude_target,XGBoost
VCC_w9,0.011321871,ghostscript/cross_project/exclude_target,XGBoost
patch_coverage_recalculated,0.03738408,ghostscript/cross_project/exclude_target,XGBoost
project_total_branch_percent,0.013020736,ghostscript/cross_project/exclude_target,XGBoost
project_total_branch_percent_delta,0.014512676,ghostscript/cross_project/exclude_target,XGBoost
project_total_function_percent,0.013318136,ghostscript/cross_project/exclude_target,XGBoost
project_total_function_percent_delta,0.013051456,ghostscript/cross_project/exclude_target,XGBoost
project_total_instantiation_percent,0.016854435,ghostscript/cross_project/exclude_target,XGBoost
project_total_instantiation_percent_delta,0.015069644,ghostscript/cross_project/exclude_target,XGBoost
project_total_line_percent,0.0147929825,ghostscript/cross_project/exclude_target,XGBoost
project_total_line_percent_delta,0.014931572,ghostscript/cross_project/exclude_target,XGBoost
project_total_region_percent,0.016151004,ghostscript/cross_project/exclude_target,XGBoost
project_total_region_percent_delta,0.015755147,ghostscript/cross_project/exclude_target,XGBoost
VCC_f10_nb_added_line,0.014014473,harfbuzz/cross_project/exclude_target,XGBoost
VCC_f11_nb_removed_line,0.012832214,harfbuzz/cross_project/exclude_target,XGBoost
VCC_f12_diff_line,0.014304027,harfbuzz/cross_project/exclude_target,XGBoost
VCC_f13_sum_line,0.013144924,harfbuzz/cross_project/exclude_target,XGBoost
VCC_f14_nb_added_paren,0.01478318,harfbuzz/cross_project/exclude_target,XGBoost
VCC_f15_nb_removed_paren,0.011506958,harfbuzz/cross_project/exclude_target,XGBoost
VCC_f16_diff_paren,0.01509291,harfbuzz/cross_project/exclude_target,XGBoost
VCC_f17_sum_paren,0.013554385,harfbuzz/cross_project/exclude_target,XGBoost
VCC_f18_nb_added_bool,0.011871594,harfbuzz/cross_project/exclude_target,XGBoost
VCC_f19_nb_removed_bool,0.0124024395,harfbuzz/cross_project/exclude_target,XGBoost
VCC_f1_sum_file_change,0.012541476,harfbuzz/cross_project/exclude_target,XGBoost
VCC_f20_diff_bool,0.011923173,harfbuzz/cross_project/exclude_target,XGBoost
VCC_f21_sum_bool,0.012900391,harfbuzz/cross_project/exclude_target,XGBoost
VCC_f22_nb_added_assignement,0.015116155,harfbuzz/cross_project/exclude_target,XGBoost
VCC_f23_nb_removed_assignement,0.011414761,harfbuzz/cross_project/exclude_target,XGBoost
VCC_f24_diff_assignement,0.012944776,harfbuzz/cross_project/exclude_target,XGBoost
VCC_f25_sum_assignement,0.013769562,harfbuzz/cross_project/exclude_target,XGBoost
VCC_f26_nb_added_function,0.011319095,harfbuzz/cross_project/exclude_target,XGBoost
VCC_f27_nb_removed_function,0.011209418,harfbuzz/cross_project/exclude_target,XGBoost
