Metric,Value,project,model
Recall,0.5791666667,libavc,RandomForest
F1-Score,0.1360888001,libavc,RandomForest
PR_AUC,0.1795478659,libavc,RandomForest
MCC,0.105660154,libjxl,RandomForest
AUC_ROC,0.7841178164,libjxl,RandomForest
Accuracy,0.7021285965,libjxl,RandomForest
Precision,0.0257676581,libjxl,RandomForest
Recall,0.5486111111,libjxl,RandomForest
F1-Score,0.1015985266,libjxl,RandomForest
PR_AUC,0.1930549408,libjxl,RandomForest
MCC,0.0157162406,libvips,RandomForest
AUC_ROC,0.4964657622,libvips,RandomForest
Accuracy,0.5525662666,libvips,RandomForest
Precision,0.0203524206,libvips,RandomForest
Recall,0.3633333333,libvips,RandomForest
F1-Score,0.0640666888,libvips,RandomForest
PR_AUC,0.0999498956,libvips,RandomForest
MCC,0.0300497117,mruby,RandomForest
AUC_ROC,0.6151170287,mruby,RandomForest
Accuracy,0.5252320382,mruby,RandomForest
Precision,0.0279301556,mruby,RandomForest
Recall,0.5417162698,mruby,RandomForest
F1-Score,0.0571258586,mruby,RandomForest
PR_AUC,0.1149960977,mruby,RandomForest
MCC,-0.0042539684,net-snmp,RandomForest
AUC_ROC,0.4764509284,net-snmp,RandomForest
Accuracy,0.4317329392,net-snmp,RandomForest
Precision,0.0143267311,net-snmp,RandomForest
Recall,0.7088888889,net-snmp,RandomForest
F1-Score,0.048624791,net-snmp,RandomForest
PR_AUC,0.0651525257,net-snmp,RandomForest
MCC,0.0073331105,open62541,RandomForest
AUC_ROC,0.589676119,open62541,RandomForest
Accuracy,0.5667427749,open62541,RandomForest
Precision,0.0086518494,open62541,RandomForest
Recall,0.6166666667,open62541,RandomForest
F1-Score,0.0267780888,open62541,RandomForest
PR_AUC,0.0522410758,open62541,RandomForest
MCC,0.003728963,openthread,RandomForest
AUC_ROC,0.4953093186,openthread,RandomForest
Accuracy,0.719046319,openthread,RandomForest
Precision,0.0109864903,openthread,RandomForest
Recall,0.3866666667,openthread,RandomForest
F1-Score,0.0342604775,openthread,RandomForest
PR_AUC,0.0405489839,openthread,RandomForest
MCC,-0.0324702479,serenity,RandomForest
AUC_ROC,0.3992171528,serenity,RandomForest
Accuracy,0.8340079365,serenity,RandomForest
Precision,0.0112347795,serenity,RandomForest
Recall,0.1805128205,serenity,RandomForest
F1-Score,0.030487112,serenity,RandomForest
PR_AUC,0.0394581943,serenity,RandomForest
MCC,0.0167330018,wolfssl,RandomForest
AUC_ROC,0.5942612071,wolfssl,RandomForest
Accuracy,0.4857429719,wolfssl,RandomForest
Precision,0.0062637923,wolfssl,RandomForest
Recall,0.7185185185,wolfssl,RandomForest
F1-Score,0.0244928815,wolfssl,RandomForest
PR_AUC,0.0337782559,wolfssl,RandomForest
MCC,0.0046284222,arrow,Random
AUC_ROC,0.5037547128,arrow,Random
Accuracy,0.9803037547,arrow,Random
Precision,0.0056944444,arrow,Random
Recall,0.0259259259,arrow,Random
F1-Score,0.0188271605,arrow,Random
PR_AUC,0.0235582011,arrow,Random
MCC,0.007655575,c-blosc2,Random
AUC_ROC,0.4991724387,c-blosc2,Random
Accuracy,0.8738977072,c-blosc2,Random
Precision,0.0588383838,c-blosc2,Random
Recall,0.096,c-blosc2,Random
F1-Score,0.0758376253,c-blosc2,Random
PR_AUC,0.1074938272,c-blosc2,Random
MCC,-0.0059839973,clamav,Random
AUC_ROC,0.498062948,clamav,Random
Accuracy,0.932771261,clamav,Random
Precision,0.0194174757,clamav,Random
Recall,0.0266666667,clamav,Random
F1-Score,0.0239047619,clamav,Random
PR_AUC,0.0722306397,clamav,Random
MCC,0.0032449554,curl,Random
AUC_ROC,0.5033267114,curl,Random
Accuracy,0.9879834983,curl,Random
Precision,0.0037518038,curl,Random
Recall,0.0125,curl,Random
F1-Score,0.009047619,curl,Random
PR_AUC,0.0158635864,curl,Random
MCC,0.0073125351,file,Random
AUC_ROC,0.5028874269,file,Random
Accuracy,0.9621119712,file,Random
Precision,0.0214384509,file,Random
Recall,0.025,file,Random
F1-Score,0.0248148148,file,Random
PR_AUC,0.0437100894,file,Random
MCC,-0.0004712583,fluent-bit,Random
AUC_ROC,0.5000745735,fluent-bit,Random
Accuracy,0.9647073461,fluent-bit,Random
Precision,0.0104249668,fluent-bit,Random
Recall,0.0255555556,fluent-bit,Random
F1-Score,0.0171111111,fluent-bit,Random
PR_AUC,0.0304770905,fluent-bit,Random
MCC,-0.011865348,harfbuzz,Random
AUC_ROC,0.4914877693,harfbuzz,Random
Accuracy,0.920638862,harfbuzz,Random
Precision,0.0184198344,harfbuzz,Random
Recall,0.0378659612,harfbuzz,Random
F1-Score,0.0240680169,harfbuzz,Random
PR_AUC,0.0310663484,harfbuzz,Random
MCC,-0.0045614217,icu,Random
AUC_ROC,0.4977001042,icu,Random
Accuracy,0.978490991,icu,Random
Precision,0.0029585799,icu,Random
Recall,0.0037037037,icu,Random
F1-Score,0.0044444444,icu,Random
PR_AUC,0.0377877878,icu,Random
MCC,0.0015783481,leptonica,Random
AUC_ROC,0.5001015135,leptonica,Random
Accuracy,0.9487468672,leptonica,Random
Precision,0.020952381,leptonica,Random
Recall,0.0240740741,leptonica,Random
F1-Score,0.0281481481,leptonica,Random
PR_AUC,0.0719753086,leptonica,Random
MCC,0.0197747247,libarchive,Random
AUC_ROC,0.5129594665,libarchive,Random
Accuracy,0.9578042328,libarchive,Random
Precision,0.0255977496,libarchive,Random
Recall,0.0533333333,libarchive,Random
F1-Score,0.0386666667,libarchive,Random
PR_AUC,0.0558809524,libarchive,Random
MCC,-0.009553369,libavc,Random
AUC_ROC,0.4963504168,libavc,Random
Accuracy,0.9402469136,libavc,Random
Precision,0.0163934426,libavc,Random
Recall,0.0145833333,libavc,Random
F1-Score,0.0172222222,libavc,Random
PR_AUC,0.1054166667,libavc,Random
MCC,0.0010562044,libjxl,Random
AUC_ROC,0.5009562402,libjxl,Random
Accuracy,0.9499413992,libjxl,Random
Precision,0.0147032575,libjxl,Random
Recall,0.0486111111,libjxl,Random
F1-Score,0.0350541126,libjxl,Random
PR_AUC,0.0412990019,libjxl,Random
MCC,0.0040378051,libvips,Random
AUC_ROC,0.5015351723,libvips,Random
Accuracy,0.9691245728,libvips,Random
Precision,0.0139534884,libvips,Random
Recall,0.0154166667,libvips,Random
F1-Score,0.0174873737,libvips,Random
PR_AUC,0.0441226452,libvips,Random
MCC,0.0022893999,mruby,Random
AUC_ROC,0.5030328866,mruby,Random
Accuracy,0.9551891638,mruby,Random
Precision,0.0213977072,mruby,Random
Recall,0.0298115079,mruby,Random
F1-Score,0.0228473147,mruby,Random
PR_AUC,0.0319770736,mruby,Random
MCC,-0.0039052356,net-snmp,Random
AUC_ROC,0.4995873858,net-snmp,Random
Accuracy,0.9708709947,net-snmp,Random
Precision,0.0048543689,net-snmp,Random
Recall,0.0133333333,net-snmp,Random
F1-Score,0.0088888889,net-snmp,Random
PR_AUC,0.036434684,net-snmp,Random
MCC,-0.0028781359,open62541,Random
AUC_ROC,0.4986808451,open62541,Random
Accuracy,0.9762132545,open62541,Random
Precision,0.0042792793,open62541,Random
Recall,0.0166666667,open62541,Random
F1-Score,0.0088888889,open62541,Random
PR_AUC,0.0161306306,open62541,Random
MCC,-0.0003546446,openthread,Random
AUC_ROC,0.5012156165,openthread,Random
Accuracy,0.9609424359,openthread,Random
Precision,0.0099977655,openthread,Random
Recall,0.0383333333,openthread,Random
F1-Score,0.0208234358,openthread,Random
PR_AUC,0.0236938437,openthread,Random
MCC,-0.0024042015,serenity,Random
AUC_ROC,0.4968520144,serenity,Random
Accuracy,0.9480252101,serenity,Random
Precision,0.0151533548,serenity,Random
Recall,0.0379487179,serenity,Random
F1-Score,0.0235286621,serenity,Random
PR_AUC,0.0331477596,serenity,Random
MCC,-0.0022709249,wolfssl,Random
AUC_ROC,0.5017969548,wolfssl,Random
Accuracy,0.9864792503,wolfssl,Random
Precision,0.0013333333,wolfssl,Random
Recall,0.0111111111,wolfssl,Random
F1-Score,0.0037037037,wolfssl,Random
PR_AUC,0.0142034806,wolfssl,Random
