feature,importance,project,model
VCC_f11_nb_removed_line,0.0072745155,clamav,XGBoost
VCC_f12_diff_line,0.025861582,clamav,XGBoost
VCC_f13_sum_line,0.0039853575,clamav,XGBoost
VCC_f14_nb_added_paren,0.0057574334,clamav,XGBoost
VCC_f15_nb_removed_paren,0.009271036,clamav,XGBoost
VCC_f16_diff_paren,0.005994244,clamav,XGBoost
VCC_f17_sum_paren,0.0027209474,clamav,XGBoost
VCC_f18_nb_added_bool,0.0053583807,clamav,XGBoost
VCC_f19_nb_removed_bool,0.0186721,clamav,XGBoost
VCC_f1_sum_file_change,0.010135415,clamav,XGBoost
VCC_f20_diff_bool,0.010068761,clamav,XGBoost
VCC_f21_sum_bool,0.012513702,clamav,XGBoost
VCC_f22_nb_added_assignement,0.008510841,clamav,XGBoost
VCC_f23_nb_removed_assignement,0.0045221974,clamav,XGBoost
VCC_f24_diff_assignement,0.007400772,clamav,XGBoost
VCC_f25_sum_assignement,0.0069345194,clamav,XGBoost
VCC_f26_nb_added_function,0.005557724,clamav,XGBoost
VCC_f27_nb_removed_function,0.0025650717,clamav,XGBoost
VCC_f28_diff_function,0.00028308659,clamav,XGBoost
VCC_f29_sum_function,0.0024388977,clamav,XGBoost
VCC_f2_nb_added_loop,0.0071365465,clamav,XGBoost
VCC_f3_nb_removed_loop,0.0004435999,clamav,XGBoost
VCC_f4_diff_loop,0.0,clamav,XGBoost
VCC_f5_sum_loop,0.002447092,clamav,XGBoost
VCC_f6_nb_added_if,0.008261775,clamav,XGBoost
VCC_f7_nb_removed_if,0.0095169265,clamav,XGBoost
VCC_f8_diff_if,0.0066112177,clamav,XGBoost
VCC_f9_sum_if,0.0046801106,clamav,XGBoost
VCC_s10_nb_removed_INTMAX,0.0,clamav,XGBoost
VCC_s11_nb_added_goto,0.015407081,clamav,XGBoost
VCC_s12_nb_removed_goto,0.002808403,clamav,XGBoost
VCC_s13_nb_added_define,0.029540572,clamav,XGBoost
VCC_s14_nb_removed_define,0.003575037,clamav,XGBoost
VCC_s15_nb_added_struct,0.00022661878,clamav,XGBoost
VCC_s16_nb_removed_struct,0.0,clamav,XGBoost
VCC_s17_diff_struct,0.0,clamav,XGBoost
VCC_s18_sum_struct,0.002128286,clamav,XGBoost
VCC_s19_nb_added_offset,0.0,clamav,XGBoost
VCC_s1_nb_added_sizeof,0.025322746,clamav,XGBoost
VCC_s20_nb_removed_offset,0.000775019,clamav,XGBoost
VCC_s21_nb_added_void,0.018959133,clamav,XGBoost
VCC_s22_nb_removed_void,0.00051891286,clamav,XGBoost
VCC_s23_diff_void,0.021234307,clamav,XGBoost
VCC_s24_sum_void,0.0027745173,clamav,XGBoost
VCC_s2_nb_removed_sizeof,0.0049571875,clamav,XGBoost
VCC_s3_diff_sizeof,0.0,clamav,XGBoost
VCC_s4_sum_sizeof,0.027837032,clamav,XGBoost
VCC_s5_nb_added_continue,0.0006171145,clamav,XGBoost
VCC_s6_nb_removed_continue,0.0,clamav,XGBoost
VCC_s7_nb_added_break,0.0027891167,clamav,XGBoost
VCC_s8_nb_removed_break,0.00026374366,clamav,XGBoost
VCC_s9_nb_added_INTMAX,0.0,clamav,XGBoost
VCC_w1,0.005883255,clamav,XGBoost
VCC_w10,0.0,clamav,XGBoost
VCC_w2,0.0,clamav,XGBoost
VCC_w3,0.0,clamav,XGBoost
VCC_w4,0.0016368595,clamav,XGBoost
VCC_w5,0.0,clamav,XGBoost
VCC_w6,0.0,clamav,XGBoost
VCC_w7,0.0,clamav,XGBoost
VCC_w8,0.0,clamav,XGBoost
VCC_w9,0.0,clamav,XGBoost
VCC_f10_nb_added_line,0.028542547,curl,XGBoost
VCC_f11_nb_removed_line,0.029691093,curl,XGBoost
VCC_f12_diff_line,0.018408373,curl,XGBoost
VCC_f13_sum_line,0.02496788,curl,XGBoost
VCC_f14_nb_added_paren,0.019221824,curl,XGBoost
VCC_f15_nb_removed_paren,0.023150379,curl,XGBoost
VCC_f16_diff_paren,0.008896864,curl,XGBoost
VCC_f17_sum_paren,0.020726802,curl,XGBoost
