strategy,project,date,scheduled_additional_builds
strategy1_median,arrow,2023-01-18 00:00:00+00:00,6
strategy1_median,arrow,2023-01-20 00:00:00+00:00,6
strategy1_median,arrow,2023-02-04 00:00:00+00:00,6
strategy1_median,arrow,2023-02-25 00:00:00+00:00,6
strategy1_median,arrow,2023-03-05 00:00:00+00:00,6
strategy1_median,arrow,2023-03-11 00:00:00+00:00,6
strategy1_median,arrow,2023-03-17 00:00:00+00:00,6
strategy1_median,arrow,2023-03-23 00:00:00+00:00,6
strategy1_median,arrow,2023-03-26 00:00:00+00:00,6
strategy1_median,arrow,2023-04-02 00:00:00+00:00,6
strategy1_median,arrow,2023-04-12 00:00:00+00:00,6
strategy1_median,arrow,2023-05-03 00:00:00+00:00,6
strategy1_median,arrow,2023-06-01 00:00:00+00:00,6
strategy1_median,arrow,2023-06-17 00:00:00+00:00,6
strategy1_median,arrow,2023-07-05 00:00:00+00:00,6
strategy1_median,arrow,2023-07-09 00:00:00+00:00,6
strategy1_median,arrow,2023-07-13 00:00:00+00:00,6
strategy1_median,arrow,2023-08-11 00:00:00+00:00,6
strategy1_median,arrow,2023-08-23 00:00:00+00:00,6
strategy1_median,arrow,2023-08-24 00:00:00+00:00,6
strategy1_median,arrow,2023-09-01 00:00:00+00:00,6
strategy1_median,arrow,2023-10-12 00:00:00+00:00,6
strategy1_median,arrow,2023-10-14 00:00:00+00:00,6
strategy1_median,arrow,2023-10-28 00:00:00+00:00,6
strategy1_median,arrow,2023-11-04 00:00:00+00:00,6
strategy1_median,arrow,2023-11-17 00:00:00+00:00,6
strategy1_median,arrow,2023-11-24 00:00:00+00:00,6
strategy1_median,arrow,2023-11-25 00:00:00+00:00,6
strategy1_median,arrow,2023-12-01 00:00:00+00:00,6
strategy1_median,arrow,2024-03-07 00:00:00+00:00,6
strategy1_median,arrow,2024-03-13 00:00:00+00:00,6
strategy1_median,arrow,2024-03-21 00:00:00+00:00,6
strategy1_median,arrow,2024-04-20 00:00:00+00:00,6
strategy1_median,arrow,2024-04-25 00:00:00+00:00,6
strategy1_median,arrow,2024-05-15 00:00:00+00:00,6
strategy1_median,arrow,2024-05-16 00:00:00+00:00,6
strategy1_median,arrow,2024-06-12 00:00:00+00:00,6
strategy1_median,arrow,2024-06-14 00:00:00+00:00,6
strategy1_median,arrow,2024-06-28 00:00:00+00:00,6
strategy1_median,arrow,2024-07-19 00:00:00+00:00,6
strategy1_median,arrow,2024-08-14 00:00:00+00:00,6
strategy1_median,arrow,2024-08-17 00:00:00+00:00,6
strategy1_median,arrow,2024-08-24 00:00:00+00:00,6
strategy1_median,arrow,2024-09-07 00:00:00+00:00,6
strategy1_median,arrow,2024-09-10 00:00:00+00:00,6
strategy1_median,arrow,2024-09-14 00:00:00+00:00,6
strategy1_median,arrow,2024-09-21 00:00:00+00:00,6
strategy1_median,arrow,2024-10-02 00:00:00+00:00,6
strategy1_median,arrow,2024-11-10 00:00:00+00:00,6
strategy1_median,arrow,2025-01-26 00:00:00+00:00,6
strategy1_median,arrow,2025-04-03 00:00:00+00:00,6
strategy1_median,arrow,2025-05-02 00:00:00+00:00,6
strategy1_median,arrow,2025-05-21 00:00:00+00:00,6
strategy1_median,arrow,2025-05-23 00:00:00+00:00,6
strategy1_median,arrow,2025-05-29 00:00:00+00:00,6
strategy1_median,c-blosc2,2020-07-08 00:00:00+00:00,5
strategy1_median,c-blosc2,2020-10-18 00:00:00+00:00,5
strategy1_median,c-blosc2,2020-10-24 00:00:00+00:00,5
strategy1_median,c-blosc2,2020-11-19 00:00:00+00:00,5
strategy1_median,c-blosc2,2020-11-20 00:00:00+00:00,5
strategy1_median,c-blosc2,2020-11-22 00:00:00+00:00,5
strategy1_median,c-blosc2,2020-12-31 00:00:00+00:00,5
strategy1_median,c-blosc2,2021-01-05 00:00:00+00:00,5
strategy1_median,c-blosc2,2021-01-06 00:00:00+00:00,5
strategy1_median,c-blosc2,2021-01-13 00:00:00+00:00,5
strategy1_median,c-blosc2,2021-01-14 00:00:00+00:00,5
strategy1_median,c-blosc2,2021-01-15 00:00:00+00:00,5
strategy1_median,c-blosc2,2021-01-16 00:00:00+00:00,5
strategy1_median,c-blosc2,2021-01-28 00:00:00+00:00,5
strategy1_median,c-blosc2,2021-01-29 00:00:00+00:00,5
strategy1_median,c-blosc2,2021-01-30 00:00:00+00:00,5
strategy1_median,c-blosc2,2021-01-31 00:00:00+00:00,5
strategy1_median,c-blosc2,2021-02-04 00:00:00+00:00,5
strategy1_median,c-blosc2,2021-02-18 00:00:00+00:00,5
strategy1_median,c-blosc2,2021-03-03 00:00:00+00:00,5
strategy1_median,c-blosc2,2021-03-13 00:00:00+00:00,5
strategy1_median,c-blosc2,2021-03-21 00:00:00+00:00,5
strategy1_median,c-blosc2,2021-04-14 00:00:00+00:00,5
strategy1_median,c-blosc2,2021-05-01 00:00:00+00:00,5
strategy1_median,c-blosc2,2021-05-18 00:00:00+00:00,5
strategy1_median,c-blosc2,2021-05-25 00:00:00+00:00,5
strategy1_median,c-blosc2,2021-06-16 00:00:00+00:00,5
strategy1_median,c-blosc2,2022-02-16 00:00:00+00:00,5
strategy1_median,c-blosc2,2022-02-17 00:00:00+00:00,5
strategy1_median,c-blosc2,2022-02-18 00:00:00+00:00,5
strategy1_median,c-blosc2,2022-02-20 00:00:00+00:00,5
strategy1_median,c-blosc2,2022-04-07 00:00:00+00:00,5
strategy1_median,c-blosc2,2022-04-08 00:00:00+00:00,5
strategy1_median,c-blosc2,2022-04-14 00:00:00+00:00,5
strategy1_median,c-blosc2,2022-07-07 00:00:00+00:00,5
strategy1_median,c-blosc2,2022-11-30 00:00:00+00:00,5
strategy1_median,c-blosc2,2023-01-13 00:00:00+00:00,5
strategy1_median,c-blosc2,2023-01-27 00:00:00+00:00,5
strategy1_median,c-blosc2,2023-05-20 00:00:00+00:00,5
strategy1_median,c-blosc2,2023-05-25 00:00:00+00:00,5
strategy1_median,c-blosc2,2023-09-14 00:00:00+00:00,5
strategy1_median,c-blosc2,2023-11-03 00:00:00+00:00,5
strategy1_median,c-blosc2,2023-12-29 00:00:00+00:00,5
strategy1_median,c-blosc2,2024-01-26 00:00:00+00:00,5
strategy1_median,c-blosc2,2024-05-15 00:00:00+00:00,5
strategy1_median,c-blosc2,2024-06-05 00:00:00+00:00,5
strategy1_median,ghostscript,2020-03-29 00:00:00+00:00,5
strategy1_median,ghostscript,2020-05-03 00:00:00+00:00,5
strategy1_median,ghostscript,2020-05-13 00:00:00+00:00,5
strategy1_median,ghostscript,2020-05-16 00:00:00+00:00,5
strategy1_median,ghostscript,2020-05-22 00:00:00+00:00,5
strategy1_median,ghostscript,2020-05-27 00:00:00+00:00,5
strategy1_median,ghostscript,2020-06-06 00:00:00+00:00,5
strategy1_median,ghostscript,2020-06-18 00:00:00+00:00,5
strategy1_median,ghostscript,2020-06-19 00:00:00+00:00,5
strategy1_median,ghostscript,2020-06-20 00:00:00+00:00,5
strategy1_median,ghostscript,2020-06-26 00:00:00+00:00,5
strategy1_median,ghostscript,2020-07-09 00:00:00+00:00,5
strategy1_median,ghostscript,2020-07-17 00:00:00+00:00,5
strategy1_median,ghostscript,2020-07-22 00:00:00+00:00,5
strategy1_median,ghostscript,2020-08-05 00:00:00+00:00,5
strategy1_median,ghostscript,2020-08-07 00:00:00+00:00,5
strategy1_median,ghostscript,2020-08-08 00:00:00+00:00,5
strategy1_median,ghostscript,2020-09-23 00:00:00+00:00,5
strategy1_median,ghostscript,2020-09-26 00:00:00+00:00,5
strategy1_median,ghostscript,2021-01-07 00:00:00+00:00,5
strategy1_median,ghostscript,2021-01-16 00:00:00+00:00,5
strategy1_median,ghostscript,2021-01-28 00:00:00+00:00,5
strategy1_median,ghostscript,2021-01-29 00:00:00+00:00,5
strategy1_median,ghostscript,2021-02-17 00:00:00+00:00,5
strategy1_median,ghostscript,2021-02-19 00:00:00+00:00,5
strategy1_median,ghostscript,2021-03-05 00:00:00+00:00,5
strategy1_median,ghostscript,2021-03-13 00:00:00+00:00,5
strategy1_median,ghostscript,2021-03-18 00:00:00+00:00,5
strategy1_median,ghostscript,2021-04-11 00:00:00+00:00,5
strategy1_median,ghostscript,2021-04-22 00:00:00+00:00,5
strategy1_median,ghostscript,2021-05-05 00:00:00+00:00,5
