strategy,project,date,scheduled_additional_builds
strategy1_median,arrow,2022-12-28 00:00:00+00:00,2
strategy1_median,arrow,2023-01-12 00:00:00+00:00,2
strategy1_median,arrow,2023-01-25 00:00:00+00:00,2
strategy1_median,arrow,2023-01-26 00:00:00+00:00,2
strategy1_median,arrow,2023-01-30 00:00:00+00:00,2
strategy1_median,arrow,2023-02-02 00:00:00+00:00,2
strategy1_median,arrow,2023-02-10 00:00:00+00:00,2
strategy1_median,arrow,2023-02-17 00:00:00+00:00,2
strategy1_median,arrow,2023-02-21 00:00:00+00:00,2
strategy1_median,arrow,2023-03-10 00:00:00+00:00,2
strategy1_median,arrow,2023-03-14 00:00:00+00:00,2
strategy1_median,arrow,2023-03-28 00:00:00+00:00,2
strategy1_median,arrow,2023-04-10 00:00:00+00:00,2
strategy1_median,arrow,2023-04-28 00:00:00+00:00,2
strategy1_median,arrow,2023-05-19 00:00:00+00:00,2
strategy1_median,arrow,2023-05-22 00:00:00+00:00,2
strategy1_median,arrow,2023-05-30 00:00:00+00:00,2
strategy1_median,arrow,2023-06-01 00:00:00+00:00,2
strategy1_median,arrow,2023-06-13 00:00:00+00:00,2
strategy1_median,arrow,2023-06-14 00:00:00+00:00,2
strategy1_median,arrow,2023-06-15 00:00:00+00:00,2
strategy1_median,arrow,2023-06-22 00:00:00+00:00,2
strategy1_median,arrow,2023-07-03 00:00:00+00:00,2
strategy1_median,arrow,2023-07-06 00:00:00+00:00,2
strategy1_median,arrow,2023-07-11 00:00:00+00:00,2
strategy1_median,arrow,2023-07-19 00:00:00+00:00,2
strategy1_median,arrow,2023-07-25 00:00:00+00:00,2
strategy1_median,arrow,2023-08-09 00:00:00+00:00,2
strategy1_median,arrow,2023-08-21 00:00:00+00:00,2
strategy1_median,arrow,2023-08-22 00:00:00+00:00,2
strategy1_median,arrow,2023-10-10 00:00:00+00:00,2
strategy1_median,arrow,2023-10-12 00:00:00+00:00,2
strategy1_median,arrow,2023-10-26 00:00:00+00:00,2
strategy1_median,arrow,2023-11-06 00:00:00+00:00,2
strategy1_median,arrow,2023-11-15 00:00:00+00:00,2
strategy1_median,arrow,2023-11-22 00:00:00+00:00,2
strategy1_median,arrow,2023-11-23 00:00:00+00:00,2
strategy1_median,arrow,2023-12-14 00:00:00+00:00,2
strategy1_median,arrow,2024-01-05 00:00:00+00:00,2
strategy1_median,arrow,2024-02-20 00:00:00+00:00,2
strategy1_median,arrow,2024-03-11 00:00:00+00:00,2
strategy1_median,arrow,2024-03-12 00:00:00+00:00,2
strategy1_median,arrow,2024-03-14 00:00:00+00:00,2
strategy1_median,arrow,2024-03-19 00:00:00+00:00,2
strategy1_median,arrow,2024-03-26 00:00:00+00:00,2
strategy1_median,arrow,2024-04-23 00:00:00+00:00,2
strategy1_median,arrow,2024-05-14 00:00:00+00:00,2
strategy1_median,arrow,2024-05-21 00:00:00+00:00,2
strategy1_median,arrow,2024-05-22 00:00:00+00:00,2
strategy1_median,arrow,2024-06-05 00:00:00+00:00,2
strategy1_median,arrow,2024-06-10 00:00:00+00:00,2
strategy1_median,arrow,2024-07-22 00:00:00+00:00,2
strategy1_median,arrow,2024-08-14 00:00:00+00:00,2
strategy1_median,arrow,2024-08-15 00:00:00+00:00,2
strategy1_median,arrow,2024-09-03 00:00:00+00:00,2
strategy1_median,arrow,2024-09-05 00:00:00+00:00,2
strategy1_median,arrow,2024-09-12 00:00:00+00:00,2
strategy1_median,arrow,2024-09-30 00:00:00+00:00,2
strategy1_median,arrow,2024-11-26 00:00:00+00:00,2
strategy1_median,arrow,2024-12-05 00:00:00+00:00,2
strategy1_median,arrow,2024-12-18 00:00:00+00:00,2
strategy1_median,arrow,2025-03-04 00:00:00+00:00,2
strategy1_median,arrow,2025-03-07 00:00:00+00:00,2
strategy1_median,arrow,2025-03-10 00:00:00+00:00,2
strategy1_median,arrow,2025-03-11 00:00:00+00:00,2
strategy1_median,arrow,2025-03-15 00:00:00+00:00,2
strategy1_median,arrow,2025-03-24 00:00:00+00:00,2
strategy1_median,arrow,2025-04-02 00:00:00+00:00,2
strategy1_median,arrow,2025-04-08 00:00:00+00:00,2
strategy1_median,arrow,2025-04-30 00:00:00+00:00,2
strategy1_median,arrow,2025-05-13 00:00:00+00:00,2
strategy1_median,arrow,2025-05-21 00:00:00+00:00,2
strategy1_median,arrow,2025-05-27 00:00:00+00:00,2
strategy1_median,c-blosc2,2020-11-23 00:00:00+00:00,44
strategy1_median,c-blosc2,2020-11-26 00:00:00+00:00,44
strategy1_median,c-blosc2,2020-11-27 00:00:00+00:00,44
strategy1_median,c-blosc2,2020-12-08 00:00:00+00:00,44
strategy1_median,c-blosc2,2020-12-09 00:00:00+00:00,44
strategy1_median,c-blosc2,2020-12-13 00:00:00+00:00,44
strategy1_median,c-blosc2,2020-12-16 00:00:00+00:00,44
strategy1_median,c-blosc2,2020-12-20 00:00:00+00:00,44
strategy1_median,c-blosc2,2020-12-21 00:00:00+00:00,44
strategy1_median,c-blosc2,2020-12-22 00:00:00+00:00,44
strategy1_median,c-blosc2,2020-12-24 00:00:00+00:00,44
strategy1_median,c-blosc2,2020-12-27 00:00:00+00:00,44
strategy1_median,c-blosc2,2020-12-29 00:00:00+00:00,44
strategy1_median,c-blosc2,2020-12-30 00:00:00+00:00,44
strategy1_median,c-blosc2,2021-01-01 00:00:00+00:00,44
strategy1_median,c-blosc2,2021-01-02 00:00:00+00:00,44
strategy1_median,c-blosc2,2021-01-03 00:00:00+00:00,44
strategy1_median,c-blosc2,2021-01-04 00:00:00+00:00,44
strategy1_median,c-blosc2,2021-01-05 00:00:00+00:00,44
strategy1_median,c-blosc2,2021-01-06 00:00:00+00:00,44
strategy1_median,c-blosc2,2021-01-07 00:00:00+00:00,44
strategy1_median,c-blosc2,2021-01-08 00:00:00+00:00,44
strategy1_median,c-blosc2,2021-01-09 00:00:00+00:00,44
strategy1_median,c-blosc2,2021-01-10 00:00:00+00:00,44
strategy1_median,c-blosc2,2021-01-11 00:00:00+00:00,44
strategy1_median,c-blosc2,2021-01-12 00:00:00+00:00,44
strategy1_median,c-blosc2,2021-01-13 00:00:00+00:00,44
strategy1_median,c-blosc2,2021-01-14 00:00:00+00:00,44
strategy1_median,c-blosc2,2021-01-15 00:00:00+00:00,44
strategy1_median,c-blosc2,2021-01-18 00:00:00+00:00,44
strategy1_median,c-blosc2,2021-01-19 00:00:00+00:00,44
strategy1_median,c-blosc2,2021-01-24 00:00:00+00:00,44
strategy1_median,c-blosc2,2021-01-25 00:00:00+00:00,44
strategy1_median,c-blosc2,2021-01-26 00:00:00+00:00,44
strategy1_median,c-blosc2,2021-01-27 00:00:00+00:00,44
strategy1_median,c-blosc2,2021-01-28 00:00:00+00:00,44
strategy1_median,c-blosc2,2021-01-29 00:00:00+00:00,44
strategy1_median,c-blosc2,2021-01-30 00:00:00+00:00,44
strategy1_median,c-blosc2,2021-01-31 00:00:00+00:00,44
